Nuts Prov;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;SUMA
ES213;Gipuzkoa;;;;;;;;;;;;2;1;1;1;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;14;13;65;10;
ES611;Almería;;;;;;;;;;;;2;1;3;0;
ES612;Cádiz;;;;;;;;;;;;4;2;1;2;
ES613;Córdoba;;;;;;;;;;;;2;2;2;1;
ES614;Granada;;;;;;;;;;;;5;1;2;1;
ES615;Huelva;;;;;;;;;;;;0;2;0;0;
ES616;Jaén;;;;;;;;;;;;1;1;0;0;
ES617;Málaga;;;;;;;;;;;;7;1;1;4;
ES618;Sevilla;;;;;;;;;;;;2;3;9;4;
ES241;Huesca;;;;;;;;;;;;1;0;0;0;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;2;1;0;0;
ES120;Asturias;;;;;;;;;;;;5;3;4;1;
ES705;Las Palmas;;;;;;;;;;;;2;2;2;0;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;0;0;1;
ES130;Cantabria;;;;;;;;;;;;3;1;0;1;
ES421;Albacete;;;;;;;;;;;;2;0;0;0;
ES422;Ciudad Real;;;;;;;;;;;;1;1;1;0;
ES423;Cuenca;;;;;;;;;;;;0;0;0;1;
ES424;Guadalajara;;;;;;;;;;;;0;0;0;1;
ES425;Toledo;;;;;;;;;;;;1;1;0;0;
ES411;Ávila;;;;;;;;;;;;0;0;0;0;
ES412;Burgos;;;;;;;;;;;;7;2;0;0;
ES413;León;;;;;;;;;;;;2;3;0;0;
ES414;Palencia;;;;;;;;;;;;0;1;0;0;
ES415;Salamanca;;;;;;;;;;;;0;1;0;1;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;3;1;6;1;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;13;16;18;15;
ES512;Girona;;;;;;;;;;;;2;3;1;1;
ES513;Lleida;;;;;;;;;;;;1;0;0;2;
ES514;Tarragona;;;;;;;;;;;;2;1;0;2;
ES521;Alicante;;;;;;;;;;;;6;6;14;10;
ES522;Castellón;;;;;;;;;;;;3;4;3;1;
ES523;Valencia;;;;;;;;;;;;17;10;11;13;
ES431;Badajoz;;;;;;;;;;;;2;0;0;0;
ES432;Cáceres;;;;;;;;;;;;0;0;0;0;
ES111;A Coruña;;;;;;;;;;;;0;2;4;0;
ES112;Lugo;;;;;;;;;;;;0;0;2;0;
ES113;Ourense;;;;;;;;;;;;0;1;0;0;
ES114;Pontevedra;;;;;;;;;;;;1;1;1;4;
ES532;Illes Balears;;;;;;;;;;;;1;0;0;0;
ES230;La Rioja;;;;;;;;;;;;1;2;0;1;
ES300;Madrid;;;;;;;;;;;;30;36;29;23;
ES620;Murcia;;;;;;;;;;;;2;4;6;5;
ES220;Navarra;;;;;;;;;;;;3;2;2;6;
ES211;Araba/Álava;;;;;;;;;;;;2;2;0;0;
ES212;Bizkaia;;;;;;;;;;;;5;3;1;2;
ES213;Gipuzkoa;;;;;;;;;;;;6;0;0;3;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;1;0;0;
;No residentes ES;;;;;;;;;;;;13;8;32;7;
ES611;Almería;;;;;;;;;;;;0;1;0;0;
ES612;Cádiz;;;;;;;;;;;;0;1;1;2;
ES613;Córdoba;;;;;;;;;;;;1;0;0;1;
ES614;Granada;;;;;;;;;;;;3;2;0;2;
ES615;Huelva;;;;;;;;;;;;0;0;0;0;
ES616;Jaén;;;;;;;;;;;;1;1;3;1;
ES617;Málaga;;;;;;;;;;;;0;1;2;2;
ES618;Sevilla;;;;;;;;;;;;3;2;0;3;
ES241;Huesca;;;;;;;;;;;;0;2;1;1;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;0;1;3;2;
ES120;Asturias;;;;;;;;;;;;1;5;3;0;
ES705;Las Palmas;;;;;;;;;;;;0;0;0;0;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;0;0;0;
ES130;Cantabria;;;;;;;;;;;;1;1;2;0;
ES421;Albacete;;;;;;;;;;;;1;0;0;0;
ES422;Ciudad Real;;;;;;;;;;;;0;0;0;0;
ES423;Cuenca;;;;;;;;;;;;0;0;1;0;
ES424;Guadalajara;;;;;;;;;;;;0;0;0;0;
ES425;Toledo;;;;;;;;;;;;0;0;1;1;
ES411;Ávila;;;;;;;;;;;;1;0;0;0;
ES412;Burgos;;;;;;;;;;;;6;0;0;0;
ES413;León;;;;;;;;;;;;1;0;0;2;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;0;1;1;0;
ES416;Segovia;;;;;;;;;;;;0;1;0;0;
ES417;Soria;;;;;;;;;;;;0;0;1;0;
ES418;Valladolid;;;;;;;;;;;;3;0;1;0;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;8;13;3;1;
ES512;Girona;;;;;;;;;;;;2;0;1;0;
ES513;Lleida;;;;;;;;;;;;0;0;0;0;
ES514;Tarragona;;;;;;;;;;;;1;0;1;1;
ES521;Alicante;;;;;;;;;;;;6;4;3;6;
ES522;Castellón;;;;;;;;;;;;1;0;0;0;
ES523;Valencia;;;;;;;;;;;;5;7;7;5;
ES431;Badajoz;;;;;;;;;;;;2;0;0;1;
ES432;Cáceres;;;;;;;;;;;;1;0;0;0;
ES111;A Coruña;;;;;;;;;;;;1;2;1;1;
ES112;Lugo;;;;;;;;;;;;0;0;1;0;
ES113;Ourense;;;;;;;;;;;;0;0;0;0;
ES114;Pontevedra;;;;;;;;;;;;0;1;2;0;
ES532;Illes Balears;;;;;;;;;;;;1;4;1;0;
ES230;La Rioja;;;;;;;;;;;;0;0;0;0;
ES300;Madrid;;;;;;;;;;;;11;9;14;12;
ES620;Murcia;;;;;;;;;;;;1;1;1;3;
ES220;Navarra;;;;;;;;;;;;3;5;3;1;
ES211;Araba/Álava;;;;;;;;;;;;0;1;0;0;
ES212;Bizkaia;;;;;;;;;;;;2;2;2;3;
ES213;Gipuzkoa;;;;;;;;;;;;0;2;1;0;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;9;15;9;8;
ES611;Almería;;;;;;;;;;;;0;1;1;1;
ES612;Cádiz;;;;;;;;;;;;3;1;2;1;
ES613;Córdoba;;;;;;;;;;;;0;0;1;1;
ES614;Granada;;;;;;;;;;;;1;0;2;1;
ES615;Huelva;;;;;;;;;;;;3;0;1;0;
ES616;Jaén;;;;;;;;;;;;2;0;1;3;
ES617;Málaga;;;;;;;;;;;;1;2;1;0;
ES618;Sevilla;;;;;;;;;;;;5;2;2;1;
ES241;Huesca;;;;;;;;;;;;0;1;0;0;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;2;1;0;0;
ES120;Asturias;;;;;;;;;;;;3;3;1;3;
ES705;Las Palmas;;;;;;;;;;;;1;0;2;1;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;2;2;0;0;
